               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081766,            0.020081,                   0,             0.60152,             0.57703,             0.53853,             0.21153,            0.033873,            0.015954,                   0,             0.07012,             0.00332,             0.00332
                   1,            0.048499,            0.014685,                   0,             0.81805,             0.71822,             0.78409,             0.34641,            0.026744,            0.012672,                   0,            0.039988,           0.0065216,           0.0065216
                   2,             0.04101,            0.012429,                   0,             0.70712,             0.69475,             0.70517,             0.25126,            0.029494,            0.010817,                   0,           0.0097245,           0.0095912,           0.0095912
                   3,            0.035773,            0.010943,                   0,             0.94803,             0.90825,             0.95233,             0.54281,            0.019734,           0.0088413,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.030331,           0.0091307,                   0,             0.95936,             0.92661,             0.96372,             0.56875,            0.016765,           0.0072892,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.027398,           0.0079536,                   0,              0.9672,             0.94365,             0.96985,             0.63364,            0.016452,           0.0062702,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.026173,           0.0074127,                   0,             0.97473,             0.94511,             0.97151,             0.65806,            0.014175,           0.0056021,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.023374,           0.0070131,                   0,             0.97823,             0.95488,             0.98071,             0.70521,            0.012188,           0.0053255,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.021528,           0.0067614,                   0,             0.98207,             0.95856,             0.98136,             0.69847,            0.012282,           0.0050211,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.020691,            0.006403,                   0,             0.97994,             0.96475,             0.98212,              0.6989,            0.012173,           0.0048668,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.020642,           0.0063678,                   0,              0.9793,             0.96625,             0.98257,             0.69258,            0.012656,           0.0048372,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.019162,           0.0061658,                   0,             0.98104,               0.963,             0.98302,             0.72758,            0.010998,           0.0047316,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.018305,           0.0059898,                   0,             0.97977,             0.96841,             0.98398,             0.73609,            0.010901,           0.0044409,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.017586,            0.005938,                   0,             0.97345,             0.97152,             0.98452,             0.74483,            0.010462,           0.0043906,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.017573,           0.0058343,                   0,             0.98224,               0.975,             0.98535,             0.75717,            0.010209,           0.0042429,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.017143,           0.0057512,                   0,             0.98308,             0.97297,             0.98606,             0.76348,            0.010371,           0.0042092,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.016345,           0.0055052,                   0,             0.98466,             0.97894,             0.98628,             0.74709,            0.010435,           0.0041781,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.016511,           0.0055367,                   0,             0.98364,             0.97825,             0.98583,             0.76365,            0.009865,           0.0041038,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.014967,           0.0055551,                   0,             0.98706,             0.97271,             0.98631,             0.76158,            0.010034,           0.0041041,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.015507,           0.0054064,                   0,             0.98116,             0.97625,             0.98592,             0.77602,           0.0092949,           0.0039366,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.014543,           0.0053452,                   0,             0.98497,             0.97625,             0.98606,             0.76922,           0.0094077,           0.0039453,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.014681,           0.0052277,                   0,              0.9874,             0.97934,             0.98663,             0.78015,           0.0091632,           0.0038571,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.014377,           0.0051656,                   0,             0.98622,              0.9815,             0.98657,             0.78021,           0.0090543,           0.0038233,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.013533,           0.0051798,                   0,             0.98691,             0.98032,              0.9868,             0.78007,           0.0091435,           0.0037895,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.013673,           0.0051615,                   0,             0.98715,             0.97948,             0.98697,             0.79538,           0.0087294,           0.0037541,                   0,            0.005446,            0.005446,            0.005446
                  25,             0.01368,            0.005047,                   0,             0.98841,             0.97875,             0.98696,             0.78478,           0.0087474,           0.0037619,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.01299,           0.0048986,                   0,             0.98889,             0.97948,             0.98719,             0.78915,           0.0087524,           0.0037128,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.01293,           0.0049951,                   0,             0.98671,               0.982,             0.99014,             0.78587,           0.0087724,           0.0037206,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.012936,           0.0050411,                   0,             0.98871,             0.98325,              0.9891,             0.79777,           0.0085641,           0.0036403,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.01259,           0.0048653,                   0,             0.98893,             0.98228,             0.98745,             0.80037,           0.0082967,           0.0035953,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.011949,           0.0048488,                   0,             0.98873,              0.9835,              0.9879,             0.79935,           0.0084807,           0.0036273,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.012253,           0.0048147,                   0,             0.98869,             0.98354,             0.98763,             0.80415,           0.0081945,           0.0035498,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.01222,           0.0047756,                   0,             0.98576,              0.9845,             0.99274,             0.80445,           0.0082506,           0.0035863,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.012079,           0.0048071,                   0,             0.98902,              0.9835,             0.98838,             0.80725,           0.0080656,           0.0034979,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.011537,           0.0047785,                   0,             0.98892,              0.9819,             0.99223,             0.80922,           0.0080187,           0.0034959,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.011515,           0.0046685,                   0,             0.99081,             0.98225,              0.9886,             0.80616,           0.0081107,            0.003535,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.011526,           0.0046381,                   0,             0.98871,             0.98525,             0.99151,             0.80535,           0.0081914,           0.0035113,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.011124,           0.0046033,                   0,             0.98943,              0.9815,             0.98887,             0.80995,           0.0081225,           0.0034829,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.011021,           0.0045799,                   0,             0.98918,              0.9829,             0.99059,             0.81184,           0.0078804,           0.0034587,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.011123,           0.0046382,                   0,             0.98938,               0.985,             0.99362,             0.81023,           0.0079988,           0.0034788,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.010903,           0.0045705,                   0,             0.99223,             0.98275,             0.99404,             0.81523,           0.0077535,           0.0033993,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.010779,           0.0045449,                   0,             0.98819,             0.98315,             0.98944,             0.81395,           0.0079014,           0.0034378,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.010712,           0.0045683,                   0,             0.98945,             0.98454,             0.98826,             0.81671,           0.0078116,            0.003422,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.010647,           0.0045231,                   0,              0.9902,             0.98491,             0.98997,             0.81804,           0.0076456,           0.0033797,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.010301,           0.0044412,                   0,             0.99196,             0.98325,             0.98871,             0.82226,           0.0075405,            0.003343,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.010472,           0.0044996,                   0,             0.99159,             0.98425,             0.99061,             0.81933,           0.0076211,           0.0033576,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.010208,           0.0044805,                   0,             0.99119,             0.98422,             0.99122,              0.8223,           0.0075257,           0.0033363,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.010308,           0.0044179,                   0,             0.99119,             0.98423,             0.99375,             0.82262,           0.0075254,           0.0033304,                   0,            0.000892,            0.000892,            0.000892
                  48,           0.0099694,           0.0044401,                   0,              0.9926,               0.984,              0.9944,             0.82282,           0.0075703,           0.0033648,                   0,            0.000694,            0.000694,            0.000694
                  49,           0.0099031,           0.0044335,                   0,             0.99194,             0.98513,             0.99304,             0.82464,           0.0075533,           0.0033361,                   0,            0.000496,            0.000496,            0.000496
